NUMERO,NUMERO_SEQUENCIAL,ANO,TIPO_CONVENCAO_CODIGO,TIPO_CONVENCAO_DESCR,TIPO_CONVENCAO_DESCR_LONG,TIPO_CONVENCAO_ORDEM,NATUREZA_CODIGO,NATUREZA_DESCRICAO,NOMECC,AMBITO_GEOGRAFICO_IRCT,AMBITO_GEOGRAFICO_CODE_IRCT,NUMBTE,DATABTE,SERIEBTE,AMBGEG,DATA_EFEITOS,AREA,DIST,CONC,PROV,CODCAE
5683,1,2014,1,ACT,Acordo coletivo de trabalho,2,2,Alteração,ACORDO COLETIVO ENTRE O BANCO COMERCIAL PORTUGUÊS; SA E OUTROS E A FEBASE - FEDERAÇÃO DO SETOR FINANCEIRO - ALTERAÇÃO,Nacional,1,12,2014.03.29 00:00:00,0,E,,1,0,0,1,62010
5683,1,2014,1,ACT,Acordo coletivo de trabalho,2,2,Alteração,ACORDO COLETIVO ENTRE O BANCO COMERCIAL PORTUGUÊS; SA E OUTROS E A FEBASE - FEDERAÇÃO DO SETOR FINANCEIRO - ALTERAÇÃO,Nacional,1,12,2014.03.29 00:00:00,0,E,,1,0,0,1,62020
5683,1,2017,1,ACT,Acordo coletivo de trabalho,2,3,Consolidação,ACORDO COLETIVO ENTRE O BANCO COMERCIAL PORTUGUES; SA E OUTROS E A FEBASE - FEDERAÇAO DO SECTOR FINANCEIRO - ALTERAÇAO E TEXTO CONSOLIDADO.,Nacional,1,6,2017.02.15 00:00:00,0,E,,1,0,0,1,82200
5683,2,2019,1,ACT,Acordo coletivo de trabalho,2,2,Alteração,ACORDO COLETIVO ENTRE O BANCO COMERCIAL PORTUGUES; SA E OUTROS E O SINDICATO DOS BANCARIOS DO CENTRO E OUTRA - ALTERAÇAO SALARIAL E OUTRAS,Nacional,1,40,2019.10.29 00:00:00,0,E,2018.01.01 00:00:00,1,0,0,1,82200
5697,2,2010,2,CCT,Contrato coletivo de trabalho,1,3,Consolidação,CONTRATO COLECTIVO ENTRE A APIO ¿ ASSOCIAÇÃO PORTUGUESA DA INDÚSTRIA DE OURIVESARIA E A FIEQUIMETAL ¿ FEDERAÇÃO INTERSINDICAL DAS INDÚSTRIAS METALÚRGICA; QUÍMICA; FARMACÊUTICA; ELÉCTRICA; ENERGIA E MINAS ¿ ALTERAÇÃO SALARIAL E OUTRAS E TEXTO CONSOLIDADO.,Nacional,1,18,2010.05.15 00:00:00,0,E,2010.01.01 00:00:00,1,0,0,1,32123
5724,1,2013,1,ACT,Acordo coletivo de trabalho,2,2,Alteração,ACORDO COLETIVO ENTRE O BANCO COMERCIAL PORTUGUÊS; S.A. E OUTROS E O SINDICATO NACIONAL DOS QUADROS E TÉCNICOS BANCÁRIOS E OUTRO - ALTERAÇÃO SALARIAL E OUTRAS,Nacional,1,29,2013.08.08 00:00:00,0,E,,1,0,0,1,62090
5724,1,2013,1,ACT,Acordo coletivo de trabalho,2,2,Alteração,ACORDO COLETIVO ENTRE O BANCO COMERCIAL PORTUGUÊS; S.A. E OUTROS E O SINDICATO NACIONAL DOS QUADROS E TÉCNICOS BANCÁRIOS E OUTRO - ALTERAÇÃO SALARIAL E OUTRAS,Nacional,1,29,2013.08.08 00:00:00,0,E,,1,0,0,1,64190
5724,1,2015,1,ACT,Acordo coletivo de trabalho,2,2,Alteração,ACORDO COLETIVO ENTRE O GRUPO DO BANCO COMERCIAL PORTUGUES; SA E O SINDICATO NACIONAL DOS QUADROS E TECNICOS BANCARIOS E O SINDICATO INDEPENDENTE DA BANCA - ALTERAÇAO,Nacional,1,25,2015.07.08 00:00:00,0,E,,1,0,0,1,62090
5724,1,2017,1,ACT,Acordo coletivo de trabalho,2,2,Alteração,ACORDO COLETIVO ENTRE O BANCO COMERCIAL PORTUGUES; SA E OUTROS E A FSIB - FEDERAÇAO DOS SINDICATOS INDEPENDENTES DA BANCA - ALTERAÇAO,Nacional,1,6,2017.02.15 00:00:00,0,E,,1,0,0,1,62090
5724,1,2017,1,ACT,Acordo coletivo de trabalho,2,2,Alteração,ACORDO COLETIVO ENTRE O BANCO COMERCIAL PORTUGUES; SA E OUTROS E A FSIB - FEDERAÇAO DOS SINDICATOS INDEPENDENTES DA BANCA - ALTERAÇAO,Nacional,1,6,2017.02.15 00:00:00,0,E,,1,0,0,1,64190
5778,1,2008,4,AE,Acordo de empresa,3,2,Alteração,"AE ENTRE O HOSPITAL DA CRUZ VERMELHA PORTUGUESA E A FESAHT-FEDERAÇÃO DOS SINDICATOS DA ALIMENTAÇÃO; BEBIDAS; HOTELARIA E TURISMO DE PORTUGAL E OUTROS-ALTERAÇÃO SALARIAL E OUTRAS
",Nacional,1,16,2008.04.29 00:00:00,0,E,2008.01.01 00:00:00,1,0,0,1,86906
5789,1,2010,1,ACT,Acordo coletivo de trabalho,2,2,Alteração,ACT ENTRE VÁRIAS CAIXAS DE CRÉDITO AGRÍCOLA MÚTUO E OUTROS E O SINDICATO DOS BANCÁRIOS DO NORTE E OUTROS - ALTERAÇÃO SALARIAL E OUTRAS,Nacional,1,1,2010.01.08 00:00:00,0,E,2009.01.01 00:00:00,1,0,0,1,62010
5789,1,2010,1,ACT,Acordo coletivo de trabalho,2,2,Alteração,ACT ENTRE VÁRIAS CAIXAS DE CRÉDITO AGRÍCOLA MÚTUO E OUTROS E O SINDICATO DOS BANCÁRIOS DO NORTE E OUTROS - ALTERAÇÃO SALARIAL E OUTRAS,Nacional,1,1,2010.01.08 00:00:00,0,E,2009.01.01 00:00:00,1,0,0,1,62020
5792,1,2009,2,CCT,Contrato coletivo de trabalho,1,3,Consolidação,CCT ENTRE A ASSOCIAÇÃO PORTUGUESA DE EMPRESAS CINEMATOGRÁFICAS E O SINTTAV -SINDICATO NACIONAL DOS TRABALHADORES DAS TELECOMUNICAÇÕES E AUDIOVISUAL - ALTERAÇÃO E OUTRAS E TEXTO CONSOLIDADO,Nacional,1,16,2009.04.29 00:00:00,0,E,2008.01.01 00:00:00,1,0,0,1,59140
5792,1,2010,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,CONVENÇÃO COLECTIVA ENTRE A ASSOCIAÇÃO PORTUGUESA DE EMPRESAS CINEMATOGRÁFICAS E O SINTTAV - SINDICATO DOS TRABALHADORES DAS TELECOMUNICAÇÕES E AUDIOVISUAL - ALTERAÇÃO SALARIAL E OUTRAS,Nacional,1,16,2010.04.29 00:00:00,0,E,2010.01.01 00:00:00,1,0,0,1,59120
5792,1,2010,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,CONVENÇÃO COLECTIVA ENTRE A ASSOCIAÇÃO PORTUGUESA DE EMPRESAS CINEMATOGRÁFICAS E O SINTTAV - SINDICATO DOS TRABALHADORES DAS TELECOMUNICAÇÕES E AUDIOVISUAL - ALTERAÇÃO SALARIAL E OUTRAS,Nacional,1,16,2010.04.29 00:00:00,0,E,2010.01.01 00:00:00,1,0,0,1,59130
5792,1,2012,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,CONTRATO COLETIVO ENTRE A ASSOCIAÇÃO PORTUGUESA DE EMPRESAS CINEMATOGRÁFICAS E O SINTTAV ¿ SINDICATO NACIONAL DOS TRABALHADORES DAS TELECOMUNICAÇÕES E AUDIOVISUAL ¿ ALTERAÇÃO SALARIAL E OUTRAS.,Nacional,1,26,2012.07.15 00:00:00,0,E,2012.05.01 00:00:00,1,0,0,1,59140
5795,1,2012,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,CONTRATO COLETIVO ENTRE A ANASEL ¿ ASSOCIAÇÃO NACIONAL DE EMPRESAS DE LAVANDARIA; ARRANJOS DE COSTURA; CONSERTOS DE SAPATOS E CHAVES E A FETESE ¿ FEDERAÇÃO DOS SINDICATOS DA INDÚSTRIA E SERVIÇOS ¿ ALTERAÇÃO.,Nacional,1,33,2012.09.08 00:00:00,0,E,,1,0,0,1,96010
5801,1,2008,4,AE,Acordo de empresa,3,3,Consolidação,AE ENTRE A TRIPUL - SOCIEDADE DE GESTÃO DE NAVIOS LDª. E A FESMAR - FEDERAÇÃO DE SINDICATOS DOS TERABLHADORES DO MAR - ALTERAÇÃO SALARIAL E OUTRAS/TEXTO CONSOLIDADO,Nacional,1,16,2008.04.29 00:00:00,0,E,2008.01.01 00:00:00,1,0,0,1,52220
5804,1,2014,4,AE,Acordo de empresa,3,2,Alteração,ACORDO DE EMPRESA ENTRE A PORTO SANTO LINE - TRANSPORTES MARÍTIMOS; LDA. E A FESMAR - FEDERAÇÃO DOS SINDICATOS DOS TRABALHADORES DO MAR - ALTERAÇÃO SALARIAL E OUTRAS,Nacional,1,21,2014.06.08 00:00:00,0,E,,1,0,0,1,50200
